Hourly measurement data supplied by UK-air on 14/08/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Glasgow High Street",,"Glasgow Townhead",
Latitude,,55.860936,,55.865782,,
Longitude,,-4.238214,,-4.243631,,
Site Type,,Urban Traffic,,Urban Background,,
Zone,,Central Scotland,,Central Scotland,,
Agglomeration,,Glasgow Urban Area,,Glasgow Urban Area,,
Local Authority,,"Glasgow",,"Glasgow",,
Date,Time,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2017-11-08,21:00:00,3.1,V ugm-3 (TEOM FDMS),5.229,V ugm-3 (TEOM FDMS)
2017-11-08,22:00:00,1.7,V ugm-3 (TEOM FDMS),6.61,V ugm-3 (TEOM FDMS)
2017-11-08,23:00:00,0.3,V ugm-3 (TEOM FDMS),7.893,V ugm-3 (TEOM FDMS)
2017-11-08,24:00:00,1.1,V ugm-3 (TEOM FDMS),7.202,V ugm-3 (TEOM FDMS)
2017-11-09,01:00:00,1.8,V ugm-3 (TEOM FDMS),4.932,V ugm-3 (TEOM FDMS)
2017-11-09,02:00:00,4.5,V ugm-3 (TEOM FDMS),5.82,V ugm-3 (TEOM FDMS)
2017-11-09,03:00:00,2.6,V ugm-3 (TEOM FDMS),6.116,V ugm-3 (TEOM FDMS)
2017-11-09,04:00:00,0.4,V ugm-3 (TEOM FDMS),3.65,V ugm-3 (TEOM FDMS)
2017-11-09,05:00:00,-0.4,V ugm-3 (TEOM FDMS),3.551,V ugm-3 (TEOM FDMS)
2017-11-09,06:00:00,2.9,V ugm-3 (TEOM FDMS),9.47,V ugm-3 (TEOM FDMS)
2017-11-09,07:00:00,7,V ugm-3 (TEOM FDMS),6.313,V ugm-3 (TEOM FDMS)
2017-11-09,08:00:00,8.5,V ugm-3 (TEOM FDMS),9.372,V ugm-3 (TEOM FDMS)
2017-11-09,09:00:00,11.7,V ugm-3 (TEOM FDMS),9.766,V ugm-3 (TEOM FDMS)
2017-11-09,10:00:00,5.4,V ugm-3 (TEOM FDMS),5.722,V ugm-3 (TEOM FDMS)
2017-11-09,11:00:00,9.4,V ugm-3 (TEOM FDMS),11.049,V ugm-3 (TEOM FDMS)
2017-11-09,12:00:00,6.3,V ugm-3 (TEOM FDMS),9.47,V ugm-3 (TEOM FDMS)
2017-11-09,13:00:00,9.4,V ugm-3 (TEOM FDMS),8.582,V ugm-3 (TEOM FDMS)
2017-11-09,14:00:00,6.2,V ugm-3 (TEOM FDMS),5.919,V ugm-3 (TEOM FDMS)
2017-11-09,15:00:00,8.1,V ugm-3 (TEOM FDMS),11.443,V ugm-3 (TEOM FDMS)
2017-11-09,16:00:00,11.3,V ugm-3 (TEOM FDMS),10.851,V ugm-3 (TEOM FDMS)
2017-11-09,17:00:00,11.4,V ugm-3 (TEOM FDMS),14.797,V ugm-3 (TEOM FDMS)
2017-11-09,18:00:00,8.5,V ugm-3 (TEOM FDMS),8.286,V ugm-3 (TEOM FDMS)
